Figure Type: line chart
QA Type: closed-ended infinite answer set non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
QA Type: closed-ended finite answer set non-binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"Line Chart";"closed-ended finite answer set non-binary visual";"0.09";"0.05";"0.75";"0.09";"0.05";"0.75";"0.81";"0.8";"0.82"
"Line Chart";"unanswerable";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"Line Chart";"closed-ended finite answer set non-binary visual";"0.09";"0.05";"0.75";"0.09";"0.05";"0.75";"0.81";"0.8";"0.82"
"Line Chart";"closed-ended finite answer set non-binary non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"


Figure Type: bar chart
QA Type: closed-ended finite answer set non-binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"bar chart";"closed-ended finite answer set non-binary visual";"0.42";"0.38";"1.0";"0.42";"0.38";"1.0";"0.87";"0.86";"0.89"
"bar chart";"closed-ended finite answer set non-binary visual";"0.42";"0.38";"1.0";"0.42";"0.38";"1.0";"0.87";"0.86";"0.89"
"bar chart";"closed-ended finite answer set non-binary visual";"0.42";"0.38";"1.0";"0.42";"0.38";"1.0";"0.87";"0.86";"0.89"
"bar chart";"closed-ended finite answer set non-binary non-visual";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"


Figure Type: graph
QA Type: closed-ended infinite answer set non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"graph";"closed-ended infinite answer set non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"graph";"closed-ended infinite answer set visual";"0.14";"0.08";"1.0";"0.14";"0.08";"1.0";"0.85";"0.81";"0.9"


Figure Type: Architecture Diagram
QA Type: closed-ended finite answer set non-binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"Architecture Diagram";"closed-ended finite answer set non-binary visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"


Figure Type: confusion matrix
QA Type: closed-ended finite answer set binary non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"confusion matrix";"closed-ended finite answer set binary non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"
"confusion matrix";"closed-ended finite answer set binary non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"
"confusion matrix";"closed-ended finite answer set non-binary visual";"0.13";"0.07";"1.0";"0.13";"0.07";"1.0";"0.83";"0.81";"0.85"
"confusion matrix";"closed-ended finite answer set non-binary non-visual";"0.67";"1.0";"0.5";"0.67";"1.0";"0.5";"0.89";"0.91";"0.87"


Figure Type: Graph
QA Type: closed-ended infinite answer set visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"Graph";"closed-ended infinite answer set visual";"0.08";"0.04";"0.5";"0.08";"0.04";"0.5";"0.41";"0.4";"0.42"
"Graph";"closed-ended infinite answer set visual";"0.08";"0.04";"0.5";"0.08";"0.04";"0.5";"0.41";"0.4";"0.42"


Figure Type: box plot
QA Type: closed-ended finite answer set non-binary non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"box plot";"closed-ended finite answer set non-binary non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.82";"0.8";"0.85"
"box plot";"closed-ended infinite answer set non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
